"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"3055","蔚華科","103,145","51","2,855,537","27.70","27.90","27.50","27.85"," ","0.00","27.80","1","27.85","3","",
"3057","喬鼎","477,809","175","2,364,431","4.95","5.05","4.90","4.93","+","0.04","4.93","4","4.94","1","",
"3058","立德","87,292","63","583,524","6.67","6.71","6.65","6.68","-","0.01","6.68","2","6.69","5","",
"3059","華晶科","2,624,007","1,325","67,879,725","25.55","26.20","25.50","25.60","-","0.10","25.60","161","25.65","1","77.58",
"3060","銘異","2,817,076","761","38,248,952","13.35","13.85","13.30","13.40","+","0.15","13.40","125","13.50","1","",
"3062","建漢","1,166,715","472","17,125,934","14.65","14.85","14.55","14.60","-","0.05","14.55","48","14.60","3","365.00",
"3090","日電貿","1,520,116","754","80,055,348","52.50","53.10","52.10","53.10","+","0.80","53.10","193","53.20","38","16.80",
"3094","聯傑","319,039","153","6,363,676","20.10","20.10","19.85","19.90","+","0.05","19.85","12","19.90","3","48.54",
"3130","一零四","3,265","9","525,796","160.50","161.50","160.50","161.00","+","0.50","161.00","1","161.50","2","18.44",
"3149","正達","456,617","177","3,305,242","7.36","7.36","7.18","7.24","+","0.03","7.22","2","7.24","12","",
"3189","景碩","37,438,540","20,251","2,425,335,862","63.50","66.30","62.60","65.50","+","2.90","65.50","60","65.60","129","",
"3209","全科","1,119,133","456","22,903,286","20.20","20.75","20.10","20.70","+","0.55","20.65","73","20.70","40","11.31",
"3229","晟鈦","586,050","287","6,933,280","12.30","12.40","11.60","11.60","-","0.70","11.55","10","11.60","56","",
"3231","緯創","54,194,970","17,790","1,877,397,054","34.35","35.00","34.00","34.65","+","0.65","34.60","323","34.65","265","15.07",
"3257","虹冠電","866,540","668","72,301,620","84.00","84.50","82.50","83.10","-","0.90","83.10","10","83.20","1","43.28",
